student_id,name,email,department,dept_code,year,semester,archetype_id,cgpa,sgpa_current,attendance_pct,backlog_count,programming_score,dsa_score,aptitude_score,logical_score,verbal_score,communication_score,core_ece_score,core_mech_score,projects_count,projects_avg_completion,internships_count,internships_tasks_completed,certifications_count,training_hours_total,online_problems_attempted,online_problems_solved,online_easy_solved,online_medium_solved,online_hard_solved,online_coding_accuracy,online_contest_rating,online_contests_count,online_coding_streak,software_skill_gaps,core_ece_skill_gaps,readiness_composite_score,is_placement_ready,c_completion,c_score,c++_completion,c++_score,java_completion,java_score,python_completion,python_score,javascript_completion,javascript_score,sql_completion,sql_score
SP2026AIM0015,Meera Singh,meera.singh15@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,3,6,6,8.88,8.6,93.2,0,100.0,98.8,83.1,86.3,87.8,88.5,33.1,20.7,3,97.1,1,5,3,103,447,361,182,130,49,80.8,2194,25,7,0,0,93.4,1,100.0,95.1,98.4,98.2,93.3,92.7,100.0,98.7,100.0,89.0,77.6,97.0
SP2026AID0016,Meera Patel,meera.patel16@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,6,4,7.58,7.7,82.7,0,93.8,93.9,79.0,87.3,88.8,81.1,27.6,27.4,1,66.6,0,0,1,55,292,256,105,89,62,87.7,2052,22,31,0,0,74.4,1,79.0,76.9,96.5,95.7,92.0,95.4,100.0,96.8,90.7,92.0,100.0,83.7
SP2026MEC0017,Chetan Patel,chetan.patel17@skillpilot.edu,Mechanical Engineering,MECH,3,6,6,9.21,9.42,94.1,0,80.2,76.9,85.9,81.6,82.4,82.6,38.9,78.5,3,92.3,1,5,5,102,549,426,181,171,74,77.6,2026,20,12,2,0,87.4,1,90.1,70.5,83.7,89.1,71.6,69.5,66.4,58.9,60.8,69.6,72.5,78.4
SP2026CSE0018,Aniket Joshi,aniket.joshi18@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,7,0,9.57,9.36,96.6,0,54.6,34.2,91.9,65.8,74.8,77.7,38.9,27.5,2,77.6,0,0,1,41,44,33,16,12,5,75.0,1442,9,0,7,0,64.3,0,49.0,32.9,62.5,59.4,52.9,48.3,59.6,53.6,54.7,47.4,39.2,58.8
SP2026AID0019,Priya Rao,priya.rao19@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,6,1,7.53,7.71,77.0,0,98.4,87.1,82.0,84.5,70.0,69.1,33.5,21.9,2,94.6,0,0,3,84,679,587,303,208,76,86.5,2230,27,25,0,0,78.3,1,86.9,96.7,100.0,100.0,97.3,90.9,97.5,98.7,100.0,100.0,88.8,91.8
SP2026AIM0020,Chetan Patel,chetan.patel20@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,4,7,2,8.1,7.81,85.8,0,81.1,79.4,97.3,87.4,47.1,43.1,32.2,25.8,1,78.7,1,2,3,85,225,171,79,71,21,76.0,1938,16,21,2,0,74.4,1,84.0,66.4,77.8,75.1,80.7,81.0,85.4,75.5,58.9,86.6,77.8,64.5
SP2026AIM0021,Kavya Mehta,kavya.mehta21@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,4,8,7,6.65,6.33,71.5,2,51.3,48.6,59.0,50.9,59.2,59.4,27.6,35.0,2,84.8,1,2,3,65,86,74,35,30,9,86.0,1633,9,9,7,0,36.0,0,52.4,55.5,57.6,54.2,45.4,54.5,45.2,46.0,35.1,52.7,53.2,50.1
SP2026AID0022,Aditya Kumar,aditya.kumar22@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,4,8,4,8.03,8.34,76.2,0,89.4,89.6,72.1,83.3,75.6,74.0,32.5,20.5,2,78.7,1,2,2,44,360,318,173,138,7,88.3,2085,22,36,0,0,81.6,1,77.2,92.1,79.6,88.9,87.6,90.8,91.5,89.6,93.2,97.3,68.2,72.6
SP2026AID0023,Marcus Gupta,marcus.gupta23@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,5,7,6.42,6.53,72.9,0,50.2,38.6,69.9,61.8,51.1,54.0,31.3,28.4,1,82.1,0,0,2,79,60,50,27,17,6,83.3,1506,9,7,8,0,50.5,0,58.5,55.2,42.0,51.8,50.0,55.9,46.7,47.8,31.9,29.5,54.9,41.1
SP2026AID0024,Aditi Verma,aditi.verma24@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,4,8,7,7.1,7.5,70.5,2,52.9,44.9,69.6,60.1,59.5,52.8,26.9,34.7,1,63.3,1,2,3,60,41,38,16,13,9,92.7,1551,7,11,6,0,33.4,0,30.1,43.6,49.4,53.2,51.0,48.0,53.9,55.1,59.7,50.9,38.4,50.4
SP2026EEE0025,Rohan Banerjee,rohan.banerjee25@skillpilot.edu,Electrical and Electronics Engineering (EEE),EEE,3,5,5,7.82,8.19,86.8,0,72.6,55.3,69.4,64.8,77.2,83.6,71.0,40.6,5,94.8,0,0,6,137,355,269,124,116,29,75.8,1765,17,7,5,2,76.8,1,58.5,58.5,56.5,80.9,71.6,64.2,50.7,50.5,62.7,73.6,60.6,52.1
SP2026AID0026,Arjun Bhat,arjun.bhat26@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,4,7,6,9.37,9.68,95.7,0,94.9,89.2,93.0,92.3,86.9,86.0,41.1,22.4,3,96.1,2,4,3,117,594,466,207,178,81,78.5,2099,20,37,0,0,93.5,1,93.0,72.4,98.3,100.0,86.6,94.4,91.7,93.3,75.5,80.9,81.3,100.0
SP2026CSE0027,Marcus Verma,marcus.verma27@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,5,3,8.39,8.32,88.5,0,61.2,50.4,74.0,63.5,72.1,66.9,32.2,28.3,2,83.6,0,0,2,58,75,64,25,27,12,85.3,1583,11,8,6,0,62.8,0,60.8,53.7,66.2,64.4,52.5,65.2,51.9,53.4,68.4,66.3,56.3,56.2
SP2026CSE0028,Aditi Joshi,aditi.joshi28@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,5,6,9.6,9.58,86.0,0,100.0,91.6,87.7,90.6,88.2,85.4,25.5,30.6,4,93.5,1,4,3,109,491,422,179,154,89,85.9,2166,21,12,0,0,94.3,1,100.0,97.0,98.4,99.9,100.0,100.0,100.0,100.0,100.0,86.3,100.0,86.1
SP2026AID0029,Kiran Sen,kiran.sen29@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,5,4,7.43,7.55,80.9,0,81.3,92.5,76.9,85.5,77.2,86.0,29.6,26.6,3,76.3,1,4,2,72,452,398,162,143,93,88.1,2172,23,6,1,0,86.0,1,74.0,62.4,75.8,79.5,79.2,80.7,74.2,78.6,66.2,70.6,68.2,77.3
SP2026CSE0030,Anushka Menon,anushka.menon30@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,7,1,7.61,7.34,83.6,0,92.9,93.1,78.2,82.9,69.8,68.8,34.9,33.8,2,87.9,1,4,3,83,646,585,261,260,64,90.6,2233,25,13,0,0,83.4,1,75.8,72.7,84.2,96.7,84.7,95.7,97.9,97.2,69.2,79.6,94.7,72.4
SP2026EEE0031,Marcus Iyer,marcus.iyer31@skillpilot.edu,Electrical and Electronics Engineering (EEE),EEE,4,8,3,8.75,8.68,83.3,0,46.2,35.2,78.8,63.1,73.5,72.2,64.8,48.1,2,79.5,1,2,1,78,133,118,51,48,19,88.7,1572,12,7,8,2,67.1,1,46.1,39.3,25.6,24.2,26.8,37.0,39.2,50.3,24.4,53.1,49.8,52.2
SP2026IT0032,Pranav Gupta,pranav.gupta32@skillpilot.edu,Information Technology (IT),IT,4,8,2,7.24,7.62,89.2,0,82.6,72.8,95.2,87.4,45.3,36.6,40.8,30.2,1,80.9,1,2,2,55,191,163,66,63,34,85.3,1873,17,5,2,0,69.9,1,61.5,89.3,83.4,74.8,81.9,78.0,75.2,80.6,79.1,66.0,72.2,80.9
SP2026CSE0033,Varun Menon,varun.menon33@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,5,6,8.55,8.42,89.3,0,95.5,97.5,86.9,86.6,81.6,83.5,39.3,29.7,3,98.3,2,5,5,111,446,343,140,146,57,76.9,2132,22,13,0,0,91.7,1,72.0,77.5,86.3,100.0,94.8,100.0,95.3,91.1,96.9,77.2,83.0,97.8
SP2026CSE0034,Pranav Bhat,pranav.bhat34@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,7,7,6.54,6.33,79.7,1,62.2,44.8,64.7,55.0,49.8,56.1,35.1,31.4,2,71.1,1,2,3,68,35,30,12,13,5,85.7,1539,10,4,6,0,48.9,0,59.6,64.9,53.2,63.6,59.5,61.4,65.7,56.4,38.3,66.9,60.9,52.5
SP2026AID0035,Pranav Kulkarni,pranav.kulkarni35@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,6,5,8.53,8.31,80.5,0,89.9,76.3,74.5,75.8,75.5,76.5,38.4,25.0,4,88.2,1,3,6,105,215,191,100,75,16,88.8,1926,19,6,1,0,83.2,1,93.3,98.8,97.7,91.3,92.7,89.6,85.2,86.1,70.5,89.8,89.5,71.0
SP2026CIV0036,Bhavya Gupta,bhavya.gupta36@skillpilot.edu,Civil Engineering,CIVIL,4,8,2,7.94,8.03,83.6,0,62.4,39.9,99.2,71.2,44.9,40.3,40.0,84.4,2,71.6,1,2,3,80,238,191,98,69,24,80.3,1614,9,8,7,0,68.1,1,55.6,48.1,43.1,70.2,45.3,70.6,55.6,47.4,40.2,44.3,70.9,47.0
SP2026CSE0037,Deepika Sen,deepika.sen37@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,6,5,8.21,8.18,83.3,0,95.3,80.1,80.1,81.3,66.8,75.6,26.6,19.2,5,89.3,1,3,6,111,170,131,65,49,17,77.1,1836,14,11,1,0,84.1,1,85.7,87.3,89.0,95.8,91.0,97.4,98.5,99.4,100.0,74.9,83.3,90.0
SP2026IT0038,Ishaan Nair,ishaan.nair38@skillpilot.edu,Information Technology (IT),IT,3,6,2,7.7,7.66,85.4,0,67.6,75.3,90.9,84.6,39.0,43.0,44.9,24.3,2,84.2,0,0,3,62,189,170,75,69,26,89.9,1900,20,31,3,0,67.7,0,52.6,42.9,59.5,61.5,62.4,64.7,64.9,60.2,44.4,62.3,55.3,52.7
SP2026AID0039,Marcus Banerjee,marcus.banerjee39@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,6,7,6.55,6.78,77.5,1,58.2,44.6,52.4,48.8,62.1,61.0,23.4,21.7,2,83.3,1,2,2,79,91,71,31,27,13,78.0,1609,13,7,6,0,48.0,0,58.0,43.6,62.8,55.3,60.3,63.9,58.7,61.3,58.5,57.2,34.1,49.8
SP2026ECE0040,Zoya Gupta,zoya.gupta40@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,3,5,1,7.32,7.16,79.4,1,84.1,90.2,77.7,81.9,73.5,77.1,60.2,33.8,3,92.5,2,4,3,63,390,306,146,124,36,78.5,2109,23,34,1,3,72.1,1,56.9,65.5,58.4,59.6,78.2,82.7,89.4,82.9,87.2,68.3,76.0,92.6
SP2026MEC0041,Meera Kumar,meera.kumar41@skillpilot.edu,Mechanical Engineering,MECH,3,5,2,7.65,7.77,89.2,0,60.9,42.7,84.6,63.3,55.6,46.8,37.9,75.7,2,76.4,1,2,1,74,218,187,90,70,27,85.8,1593,13,38,7,0,66.2,0,44.2,37.6,67.5,43.8,44.0,39.4,47.4,52.4,59.7,40.7,69.6,70.1
SP2026EEE0042,Sneha Chopra,sneha.chopra42@skillpilot.edu,Electrical and Electronics Engineering (EEE),EEE,3,5,2,8.04,8.18,88.9,0,55.4,55.3,95.8,84.6,49.8,51.0,78.3,33.5,3,84.1,1,2,1,59,122,99,41,44,14,81.1,1652,15,8,6,1,73.2,1,48.7,61.5,35.1,48.0,39.9,58.7,42.0,56.0,53.1,55.5,30.9,42.2
SP2026CSE0043,Marcus Agarwal,marcus.agarwal43@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,7,4,7.12,7.25,83.7,0,84.9,79.2,77.8,79.1,69.4,71.1,26.7,21.6,1,61.6,0,0,2,59,280,246,123,108,15,87.9,1980,19,45,2,0,68.3,1,64.0,92.0,80.2,85.5,78.8,78.8,77.6,87.4,81.1,74.4,79.1,76.4
SP2026CSE0044,Ishaan Banerjee,ishaan.banerjee44@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,5,4,7.51,7.89,86.9,0,82.5,90.9,84.1,87.6,66.5,71.5,33.0,17.3,1,71.3,1,3,3,43,392,317,158,120,39,80.9,2024,20,1,1,0,77.4,1,83.6,77.7,73.3,79.3,73.6,88.4,89.3,75.4,90.2,58.6,71.8,84.4
SP2026AID0045,Riya Deshmukh,riya.deshmukh45@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,4,7,6,9.59,9.38,89.1,0,95.2,98.6,94.3,99.4,92.9,93.6,29.8,17.5,4,96.7,2,5,3,115,483,398,168,146,84,82.4,2215,22,3,0,0,96.9,1,98.6,84.9,99.0,99.6,85.5,90.1,87.0,87.7,91.1,94.8,71.9,96.1
SP2026CSE0046,Akash Nair,akash.nair46@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,8,6,9.38,9.24,88.5,0,99.5,95.9,88.3,92.2,87.3,81.9,30.3,20.5,4,95.6,1,5,5,142,350,293,140,122,31,83.7,2085,21,25,0,0,93.5,1,80.9,93.3,93.8,94.6,100.0,93.5,97.8,92.3,88.9,89.1,93.0,88.1
SP2026CSE0047,Sanjay Deshmukh,sanjay.deshmukh47@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,6,0,9.18,9.47,94.0,0,41.1,36.3,92.3,65.1,82.0,80.4,41.7,21.7,1,74.9,0,0,1,78,91,72,33,26,13,79.1,1497,8,6,8,0,60.4,0,32.5,38.8,36.7,38.2,47.0,39.7,45.6,43.3,42.8,27.4,23.3,27.1
SP2026ECE0048,Aditi Singh,aditi.singh48@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,4,7,1,6.93,6.97,76.6,0,89.0,89.8,86.1,84.3,68.2,62.0,81.1,37.8,3,78.7,2,4,3,63,615,500,262,178,60,81.3,2205,22,1,0,1,83.7,1,78.5,84.9,75.3,83.0,64.3,81.7,77.1,85.6,87.3,85.6,80.9,81.1
SP2026CSE0049,Varun Singh,varun.singh49@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,8,4,7.98,7.96,80.6,0,94.3,80.4,85.9,82.4,75.8,77.4,40.4,20.3,3,65.6,0,0,3,81,310,241,99,93,49,77.7,1952,16,41,1,0,81.2,1,69.6,75.3,93.3,92.4,98.4,94.2,99.8,87.6,87.8,70.8,76.7,99.7
SP2026CSE0050,Ananya Banerjee,ananya.banerjee50@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,8,1,7.61,7.41,72.2,0,94.0,96.7,88.0,91.9,65.8,69.1,34.2,32.0,2,85.0,1,4,1,66,349,289,151,110,28,82.8,2125,24,26,0,0,84.5,1,100.0,80.4,95.4,97.0,92.1,89.2,94.0,91.3,75.5,89.5,82.3,96.0
SP2026CSE0051,Kiran Nair,kiran.nair51@skillpilot.edu,Computer Science and Engineering (CSE),CSE,4,8,6,8.88,8.88,86.2,0,87.6,90.6,85.1,83.2,84.7,84.8,33.9,25.2,4,98.6,1,5,4,124,371,287,146,116,25,77.4,2100,21,37,1,0,89.3,1,80.8,86.6,80.6,83.3,82.4,81.6,80.6,83.4,73.1,90.0,75.2,95.6
SP2026AID0052,Siddharth Reddy,siddharth.reddy52@skillpilot.edu,Artificial Intelligence & Data Science (AI & DS),AIDS,3,5,0,9.2,9.44,96.4,0,49.8,55.1,86.1,70.7,71.4,77.3,23.4,21.4,2,65.8,1,2,3,71,110,82,42,31,9,74.5,1640,12,5,7,0,72.6,1,28.7,44.5,50.4,49.4,52.0,49.5,56.9,48.2,49.5,40.1,35.0,49.0
SP2026AIM0053,Tanvi Nair,tanvi.nair53@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,4,8,1,6.7,6.77,77.1,1,90.6,100.0,87.5,94.5,71.0,68.0,30.5,15.7,2,77.2,0,0,3,102,605,509,252,180,77,84.1,2303,29,42,0,0,67.2,1,79.6,91.9,98.0,88.6,80.8,86.2,89.8,89.8,85.9,85.7,81.2,79.3
SP2026AIM0054,Pooja Sharma,pooja.sharma54@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,4,8,2,8.4,8.22,79.0,0,80.1,73.7,89.8,79.0,38.7,45.9,22.4,29.4,1,81.2,0,0,3,50,189,142,72,57,13,75.1,1843,16,36,2,0,66.0,0,70.0,71.3,84.5,80.9,73.4,81.3,77.2,82.4,86.0,70.8,70.1,55.2
SP2026ECE0055,Ananya Sen,ananya.sen55@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,3,6,2,7.46,7.56,79.4,0,72.1,64.8,96.4,87.2,45.0,46.2,71.5,36.7,3,80.0,0,0,3,48,222,189,82,68,39,85.1,1786,14,33,4,2,70.8,1,68.5,71.9,71.9,69.4,64.1,65.9,79.2,79.6,53.1,52.9,57.2,53.6
SP2026EEE0056,Aarav Chopra,aarav.chopra56@skillpilot.edu,Electrical and Electronics Engineering (EEE),EEE,3,6,6,9.66,9.45,90.6,0,81.5,80.3,85.2,80.5,90.1,94.8,63.3,34.4,4,95.5,1,4,4,149,580,470,257,189,24,81.0,2110,25,29,2,3,90.3,1,75.6,91.1,60.1,85.5,82.8,66.9,91.5,72.2,68.7,85.1,71.9,91.3
SP2026ECE0057,Alex Kapoor,alex.kapoor57@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,4,7,1,6.68,7.03,74.5,0,93.3,88.6,82.7,82.7,75.0,74.6,63.7,39.1,2,77.7,1,4,1,77,442,336,140,146,50,76.0,2040,23,21,0,3,81.7,1,68.7,66.4,65.9,62.6,88.5,77.7,82.8,84.1,90.5,99.1,71.5,86.3
SP2026IT0058,Tanvi Joshi,tanvi.joshi58@skillpilot.edu,Information Technology (IT),IT,3,6,6,9.05,9.25,92.3,0,95.9,87.8,90.8,85.9,87.5,85.6,28.1,20.7,3,90.5,2,4,3,159,577,439,204,153,82,76.1,2167,22,45,0,0,92.0,1,100.0,100.0,91.3,100.0,100.0,89.2,92.4,89.0,94.1,93.6,72.7,92.8
SP2026AIM0059,Aniket Kapoor,aniket.kapoor59@skillpilot.edu,Artificial Intelligence & Machine Learning (AI/ML),AIML,3,6,1,6.6,6.31,79.1,1,88.3,95.3,90.3,88.3,76.2,76.2,25.7,16.8,3,90.5,0,0,3,103,529,466,223,163,80,88.1,2209,25,23,0,0,70.4,1,88.6,85.3,81.0,86.1,90.7,92.3,79.9,81.7,89.6,83.9,76.7,97.0
SP2026IT0060,Aniket Gupta,aniket.gupta60@skillpilot.edu,Information Technology (IT),IT,4,8,6,9.29,9.38,88.3,0,97.4,95.4,90.9,94.1,79.3,87.5,26.0,22.7,3,99.9,2,4,4,155,323,247,114,99,34,76.5,2030,21,5,0,0,93.5,1,73.0,74.8,92.1,90.0,88.5,100.0,96.5,98.2,89.9,86.9,97.0,75.3
SP2026IT0061,Meera Patel,meera.patel61@skillpilot.edu,Information Technology (IT),IT,3,6,4,7.55,7.51,83.2,0,97.4,87.7,70.0,78.2,74.5,81.2,26.1,33.5,3,78.5,0,0,1,85,415,366,147,146,73,88.2,2061,23,17,0,0,81.7,1,78.2,76.8,100.0,93.2,100.0,100.0,87.9,100.0,81.9,74.6,97.3,92.6
SP2026IT0062,Tanvi Sen,tanvi.sen62@skillpilot.edu,Information Technology (IT),IT,3,5,1,7.51,7.56,82.7,0,87.5,91.8,82.2,81.4,79.2,77.2,43.0,18.6,3,79.5,0,0,2,118,480,375,165,134,76,78.1,2100,24,44,1,0,82.9,1,94.0,68.8,92.0,93.2,94.6,80.4,85.8,83.4,92.0,73.9,81.8,62.8
SP2026IT0063,Marcus Gupta,marcus.gupta63@skillpilot.edu,Information Technology (IT),IT,4,7,4,7.69,7.64,85.0,0,88.3,90.4,85.7,82.7,70.2,74.2,33.5,27.7,2,81.2,1,2,1,73,243,181,83,80,18,74.5,2033,19,18,0,0,81.6,1,66.6,95.6,94.5,87.6,90.9,85.5,95.9,81.5,66.7,68.0,92.0,65.9
SP2026CIV0064,Ishaan Kumar,ishaan.kumar64@skillpilot.edu,Civil Engineering,CIVIL,4,7,7,6.55,6.79,78.0,1,33.7,26.4,51.6,46.2,50.1,52.1,23.1,69.4,2,81.3,0,0,1,83,38,33,16,13,4,86.8,1389,6,2,10,0,35.0,0,11.9,17.4,21.2,26.7,32.4,17.8,43.4,9.8,22.9,24.5,34.9,17.4
SP2026CSE0065,Aarav Verma,aarav.verma65@skillpilot.edu,Computer Science and Engineering (CSE),CSE,3,6,1,7.02,7.13,80.2,0,93.3,89.8,90.5,93.3,55.9,63.9,40.2,16.8,2,78.4,2,4,2,112,362,283,134,109,40,78.2,2035,20,14,0,0,85.1,1,100.0,78.0,91.4,87.4,94.4,94.0,95.0,92.3,99.2,85.1,71.4,81.7
SP2026ECE0066,Ishaan Agarwal,ishaan.agarwal66@skillpilot.edu,Electronics and Communication Engineering (ECE),ECE,3,5,6,8.93,8.98,91.0,0,90.3,93.9,86.3,92.4,83.2,88.3,55.7,36.9,4,95.3,1,4,3,115,394,312,137,134,41,79.2,2132,20,15,0,3,91.8,1,56.1,61.5,52.7,60.8,100.0,71.4,73.6,76.5,91.2,77.9,86.0,90.0
